[0.001s][info][metaspace]  - commit_granule_bytes: 65536.
[0.001s][info][metaspace]  - commit_granule_words: 8192.
[0.001s][info][metaspace]  - virtual_space_node_default_size: 8388608.
[0.001s][info][metaspace]  - enlarge_chunks_in_place: 1.
[0.001s][info][metaspace]  - use_allocation_guard: 0.
[0.003s][info][gc       ] Using G1
[0.433s][info][metaspace] Reserving compressed class space anywhere
[0.433s][info][gc,metaspace] CDS archive(s) not mapped
[0.433s][info][gc,metaspace] Compressed class space mapped at: 0x00007ffedb000000-0x00007fff9b000000, reserved size: 3221225472
[0.433s][info][gc,metaspace] UseCompressedClassPointers 1, UseCompactObjectHeaders 1, Use2c0 1narrow klass pointer bits 22, max shift 6
[0.433s][info][gc,metaspace] Narrow klass base: 0x00007ffedb000000, Narrow klass shift: 6, Narrow klass range: 0xc0000000
Num Classes: 2048
Num Objects per Class: 32768
Cycles: 100
Class association: random
Generate 2048 classes...[1.374s][info][gc,metaspace] GC(0) Metaspace: 25327K(26496K)->25327K(26496K) NonClass: 19780K(20032K)->19780K(20032K) Class: 5547K(6464K)->5547K(6464K)
[31.024s][info][gc          ] GC(37) Pause Full (System.gc()) 778M->778M(6144M) 393.041ms
[31.426s][info][gc,metaspace] GC(38) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[31.426s][info][gc          ] GC(38) Pause Full (System.gc()) 778M->778M(6144M) 402.529ms
[31.836s][info][gc,metaspace] GC(39) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[31.836s][info][gc          ] GC(39) Pause Full (System.gc()) 778M->778M(6144M) 410.036ms
[32.225s][info][gc,metaspace] GC(40) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[32.225s][info][gc          ] GC(40) Pause Full (System.gc()) 778M->778M(6144M) 388.662ms
[32.623s][info][gc,metaspace] GC(41) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[32.623s][info][gc          ] GC(41) Pause Full (System.gc()) 778M->778M(6144M) 397.991ms
[33.002s][info][gc,metaspace] GC(42) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[33.003s][info][gc          ] GC(42) Pause Full (System.gc()) 778M->778M(6144M) 379.187ms
[33.384s][info][gc,metaspace] GC(43) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[33.384s][info][gc          ] GC(43) Pause Full (System.gc()) 778M->778M(6144M) 381.319ms
[33.812s][info][gc,metaspace] GC(44) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[33.812s][info][gc          ] GC(44) Pause Full (System.gc()) 778M->778M(6144M) 428.093ms
[34.217s][info][gc,metaspace] GC(45) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[34.217s][info][gc          ] GC(45) Pause Full (System.gc()) 778M->778M(6144M) 405.243ms
[34.632s][info][gc,metaspace] GC(46) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[34.632s][info][gc          ] GC(46) Pause Full (System.gc()) 778M->778M(6144M) 414.057ms
[35.038s][info][gc,metaspace] GC(47) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[35.038s][info][gc          ] GC(47) Pause Full (System.gc()) 778M->778M(6144M) 406.009ms
[35.439s][info][gc,metaspace] GC(48) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[35.439s][info][gc          ] GC(48) Pause Full (System.gc()) 778M->778M(6144M) 401.429ms
[35.860s][info][gc,metaspace] GC(49) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[35.860s][info][gc          ] GC(49) Pause Full (System.gc()) 778M->778M(6144M) 420.367ms
[36.251s][info][gc,metaspace] GC(50) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[36.251s][info][gc          ] GC(50) Pause Full (System.gc()) 778M->778M(6144M) 391.183ms
[36.632s][info][gc,metaspace] GC(51) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[36.632s][info][gc          ] GC(51) Pause Full (System.gc()) 778M->778M(6144M) 380.820ms
[37.028s][info][gc,metaspace] GC(52) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[37.028s][info][gc          ] GC(52) Pause Full (System.gc()) 778M->778M(6144M) 396.232ms
[37.431s][info][gc,metaspace] GC(53) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[37.431s][info][gc          ] GC(53) Pause Full (System.gc()) 778M->778M(6144M) 403.058ms
[37.851s][info][gc,metaspace] GC(54) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[37.851s][info][gc          ] GC(54) Pause Full (System.gc()) 778M->778M(6144M) 419.485ms
[38.224s][info][gc,metaspace] GC(55) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[38.224s][info][gc          ] GC(55) Pause Full (System.gc()) 778M->778M(6144M) 373.434ms
[38.661s][info][gc,metaspace] GC(56) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[38.661s][info][gc          ] GC(56) Pause Full (System.gc()) 778M->778M(6144M) 436.304ms
[39.066s][info][gc,metaspace] GC(57) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[39.066s][info][gc          ] GC(57) Pause Full (System.gc()) 778M->778M(6144M) 405.122ms
[39.447s][info][gc,metaspace] GC(58) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
[39.447s][info][gc          ] GC(58) Pause Full (System.gc()) 778M->778M(6144M) 380.524ms
[39.863s][info][gc,metaspace] GC(59) Metaspace: 59091K(71232K)->59091K(71232K) NonClass: 29011K(29952K)->29011K(29952K) Class: 30079K(41280K)->30079K(41280K)
