[0.001s][info][metaspace]  - commit_granule_bytes: 65536.
[0.001s][info][metaspace]  - commit_granule_words: 8192.
[0.001s][info][metaspace]  - virtual_space_node_default_size: 8388608.
[0.001s][info][metaspace]  - enlarge_chunks_in_place: 1.
[0.001s][info][metaspace]  - use_allocation_guard: 0.
[0.005s][info][gc       ] Using G1
[0.419s][info][metaspace] Reserving compressed class space anywhere
[0.419s][info][gc,metaspace] CDS archive(s) not mapped
[0.419s][info][gc,metaspace] Compressed class space mapped at: 0x00007ffedb000000-0x00007fff9b000000, reserved size: 3221225472
[0.419s][info][gc,metaspace] UseCompressedClassPointers 1, UseCompactObjectHeaders 1, Use2c0 0narrow klass pointer bits 22, max shift 10
[0.419s][info][gc,metaspace] Narrow klass base: 0x00007ffedb000000, Narrow klass shift: 10, Narrow klass range: 0xc0000000
Num Classes: 512
Num Objects per Class: 131072
Cycles: 100
Class association: random
Generate 512 classes...[1.352s][info][gc,metaspace] GC(0) Metaspace: 22076K(22464K)->22076K(22464K) NonClass: 18265K(18496K)->18265K(18496K) Class: 3811K(3968K)->3811K(3968K)
[17.857s][info][gc,metaspace] GC(29) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[17.857s][info][gc          ] GC(29) Pause Full (System.gc()) 775M->775M(6144M) 371.119ms
[18.204s][info][gc,metaspace] GC(30) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[18.204s][info][gc          ] GC(30) Pause Full (System.gc()) 775M->775M(6144M) 346.810ms
[18.549s][info][gc,metaspace] GC(31) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[18.549s][info][gc          ] GC(31) Pause Full (System.gc()) 775M->775M(6144M) 345.154ms
[18.933s][info][gc,metaspace] GC(32) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[18.933s][info][gc          ] GC(32) Pause Full (System.gc()) 775M->775M(6144M) 383.627ms
[19.317s][info][gc,metaspace] GC(33) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[19.317s][info][gc          ] GC(33) Pause Full (System.gc()) 775M->775M(6144M) 384.394ms
[19.698s][info][gc,metaspace] GC(34) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[19.698s][info][gc          ] GC(34) Pause Full (System.gc()) 775M->775M(6144M) 380.981ms
[20.081s][info][gc,metaspace] GC(35) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[20.081s][info][gc          ] GC(35) Pause Full (System.gc()) 775M->775M(6144M) 382.713ms
[20.433s][info][gc,metaspace] GC(36) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[20.434s][info][gc          ] GC(36) Pause Full (System.gc()) 775M->775M(6144M) 352.211ms
[20.801s][info][gc,metaspace] GC(37) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[20.801s][info][gc          ] GC(37) Pause Full (System.gc()) 775M->775M(6144M) 367.395ms
[21.177s][info][gc,metaspace] GC(38) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[21.177s][info][gc          ] GC(38) Pause Full (System.gc()) 775M->775M(6144M) 376.468ms
[21.545s][info][gc,metaspace] GC(39) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[21.546s][info][gc          ] GC(39) Pause Full (System.gc()) 775M->775M(6144M) 367.951ms
[21.931s][info][gc,metaspace] GC(40) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[21.932s][info][gc          ] GC(40) Pause Full (System.gc()) 775M->775M(6144M) 385.963ms
[22.286s][info][gc,metaspace] GC(41) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[22.286s][info][gc          ] GC(41) Pause Full (System.gc()) 775M->775M(6144M) 354.382ms
[22.690s][info][gc,metaspace] GC(42) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[22.690s][info][gc          ] GC(42) Pause Full (System.gc()) 775M->775M(6144M) 403.982ms
[23.050s][info][gc,metaspace] GC(43) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[23.050s][info][gc          ] GC(43) Pause Full (System.gc()) 775M->775M(6144M) 359.690ms
[23.455s][info][gc,metaspace] GC(44) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[23.455s][info][gc          ] GC(44) Pause Full (System.gc()) 775M->775M(6144M) 401.059ms
[23.815s][info][gc,metaspace] GC(45) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
[23.815s][info][gc          ] GC(45) Pause Full (System.gc()) 775M->775M(6144M) 359.584ms
[24.178s][info][gc,metaspace] GC(46) Metaspace: 26150K(27008K)->26150K(27008K) NonClass: 21563K(21952K)->21563K(21952K) Class: 4586K(5056K)->4586K(5056K)
