Done; will start GCs... 
[273.794s][info][gc,metaspace] GC(52) Metaspace: 61984K(68928K)->61984K(68928K) NonClass: 51089K(54016K)->51089K(54016K) Class: 10895K(14912K)->10895K(14912K)
[273.794s][info][gc          ] GC(52) Pause Full (System.gc()) 181M->181M(4096M) 1891.253ms
[275.684s][info][gc,metaspace] GC(53) Metaspace: 61984K(68928K)->61984K(68928K) NonClass: 51089K(54016K)->51089K(54016K) Class: 10895K(14912K)->10895K(14912K)
[275.684s][info][gc          ] GC(53) Pause Full (System.gc()) 181M->181M(4096M) 1889.121ms
[277.584s][info][gc,metaspace] GC(54) Metaspace: 61984K(68928K)->61984K(68928K) NonClass: 51089K(54016K)->51089K(54016K) Class: 10895K(14912K)->10895K(14912K)
[277.584s][info][gc          ] GC(54) Pause Full (System.gc()) 181M->181M(4096M) 1900.070ms
[279.467s][info][gc,metaspace] GC(55) Metaspace: 61984K(68928K)->61984K(68928K) NonClass: 51089K(54016K)->51089K(54016K) Class: 10895K(14912K)->10895K(14912K)
[279.467s][info][gc          ] GC(55) Pause Full (System.gc()) 181M->181M(4096M) 1881.944ms
[282.015s][info][gc,metaspace] GC(56) Metaspace: 61984K(68928K)->61984K(68928K) NonClass: 51089K(54016K)->51089K(54016K) Class: 10895K(14912K)->10895K(14912K)
[282.015s][info][gc          ] GC(56) Pause Full (System.gc()) 181M->181M(4096M) 2547.461ms
[284.344s][info][gc,metaspace] GC(57) Metaspace: 61984K(68928K)->61984K(68928K) NonClass: 51089K(54016K)->51089K(54016K) Class: 10895K(14912K)->10895K(14912K)
[284.345s][info][gc          ] GC(57) Pause Full (System.gc()) 181M->181M(4096M) 2329.114ms
[286.256s][info][gc,metaspace] GC(58) Metaspace: 61984K(68928K)->61984K(68928K) NonClass: 51089K(54016K)->51089K(54016K) Class: 10895K(14912K)->10895K(14912K)
[286.257s][info][gc          ] GC(58) Pause Full (System.gc()) 181M->181M(4096M) 1911.483ms
[288.149s][info][gc,metaspace] GC(59) Metaspace: 61984K(68928K)->61984K(68928K) NonClass: 51089K(54016K)->51089K(54016K) Class: 10895K(14912K)->10895K(14912K)
[288.149s][info][gc          ] GC(59) Pause Full (System.gc()) 181M->181M(4096M) 1892.176ms
[290.059s][info][gc,metaspace] GC(60) Metaspace: 61984K(68928K)->61984K(68928K) NonClass: 51089K(54016K)->51089K(54016K) Class: 10895K(14912K)->10895K(14912K)
[290.059s][info][gc          ] GC(60) Pause Full (System.gc()) 181M->181M(4096M) 1909.379ms
[291.979s][info][gc,metaspace] GC(61) Metaspace: 61984K(68928K)->61984K(68928K) NonClass: 51089K(54016K)->51089K(54016K) Class: 10895K(14912K)->10895K(14912K)
[291.979s][info][gc          ] GC(61) Pause Full (System.gc()) 181M->181M(4096M) 1919.627ms
[293.883s][info][gc,metaspace] GC(62) Metaspace: 61984K(68928K)->61984K(68928K) NonClass: 51089K(54016K)->51089K(54016K) Class: 10895K(14912K)->10895K(14912K)
[293.883s][info][gc          ] GC(62) Pause Full (System.gc()) 181M->181M(4096M) 1903.553ms
[295.777s][info][gc,metaspace] GC(63) Metaspace: 61984K(68928K)->61984K(68928K) NonClass: 51089K(54016K)->51089K(54016K) Class: 10895K(14912K)->10895K(14912K)
[295.777s][info][gc          ] GC(63) Pause Full (System.gc()) 181M->181M(4096M) 1893.142ms
[297.675s][info][gc,metaspace] GC(64) Metaspace: 61984K(68928K)->61984K(68928K) NonClass: 51089K(54016K)->51089K(54016K) Class: 10895K(14912K)->10895K(14912K)
[297.675s][info][gc          ] GC(64) Pause Full (System.gc()) 181M->181M(4096M) 1897.551ms
[299.588s][info][gc,metaspace] GC(65) Metaspace: 61984K(68928K)->61984K(68928K) NonClass: 51089K(54016K)->51089K(54016K) Class: 10895K(14912K)->10895K(14912K)
[299.588s][info][gc          ] GC(65) Pause Full (System.gc()) 181M->181M(4096M) 1912.350ms
[302.148s][info][gc,metaspace] GC(66) Metaspace: 61984K(68928K)->61984K(68928K) NonClass: 51089K(54016K)->51089K(54016K) Class: 10895K(14912K)->10895K(14912K)
[302.148s][info][gc          ] GC(66) Pause Full (System.gc()) 181M->181M(4096M) 2559.879ms
[304.539s][info][gc,metaspace] GC(67) Metaspace: 61984K(68928K)->61984K(68928K) NonClass: 51089K(54016K)->51089K(54016K) Class: 10895K(14912K)->10895K(14912K)
[304.539s][info][gc          ] GC(67) Pause Full (System.gc()) 181M->181M(4096M) 2389.733ms
[306.432s][info][gc,metaspace] GC(68) Metaspace: 61984K(68928K)->61984K(68928K) NonClass: 51089K(54016K)->51089K(54016K) Class: 10895K(14912K)->10895K(14912K)
