[0.001s][info][metaspace]  - commit_granule_bytes: 65536.
[0.001s][info][metaspace]  - commit_granule_words: 8192.
[0.001s][info][metaspace]  - virtual_space_node_default_size: 8388608.
[0.001s][info][metaspace]  - enlarge_chunks_in_place: 1.
[0.001s][info][metaspace]  - use_allocation_guard: 0.
[0.005s][info][gc       ] Using G1
[0.444s][info][metaspace] Reserving compressed class space anywhere
[0.444s][info][gc,metaspace] CDS archive(s) not mapped
[0.444s][info][gc,metaspace] Compressed class space mapped at: 0x0000000009000000-0x00000000c9000000, reserved size: 3221225472
[0.444s][info][gc,metaspace] Narrow klass base: 0x0000000000000000, Narrow klass shift: 0, Narrow klass range: 0xc9000000
Num Classes: 2048
Num Objects per Class: 32768
Cycles: 100
Class association: random
Generate 2048 classes...[1.326s][info][gc,metaspace] GC(0) Metaspace: 21975K(22144K)->21975K(22144K) NonClass: 19669K(19776K)->19669K(19776K) Class: 2305K(2368K)->2305K(2368K)
[26.865s][info][gc,metaspace] GC(26) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[26.865s][info][gc          ] GC(26) Pause Full (System.gc()) 1291M->1291M(6144M) 406.630ms
[27.327s][info][gc,metaspace] GC(27) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[27.327s][info][gc          ] GC(27) Pause Full (System.gc()) 1291M->1291M(6144M) 462.536ms
[27.745s][info][gc,metaspace] GC(28) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[27.745s][info][gc          ] GC(28) Pause Full (System.gc()) 1291M->1291M(6144M) 417.395ms
[28.220s][info][gc,metaspace] GC(29) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[28.220s][info][gc          ] GC(29) Pause Full (System.gc()) 1291M->1291M(6144M) 475.011ms
[28.647s][info][gc,metaspace] GC(30) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[28.647s][info][gc          ] GC(30) Pause Full (System.gc()) 1291M->1291M(6144M) 427.457ms
[29.095s][info][gc,metaspace] GC(31) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[29.095s][info][gc          ] GC(31) Pause Full (System.gc()) 1291M->1291M(6144M) 447.708ms
[29.522s][info][gc,metaspace] GC(32) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[29.522s][info][gc          ] GC(32) Pause Full (System.gc()) 1291M->1291M(6144M) 426.182ms
[29.975s][info][gc,metaspace] GC(33) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[29.975s][info][gc          ] GC(33) Pause Full (System.gc()) 1291M->1291M(6144M) 453.045ms
[30.398s][info][gc,metaspace] GC(34) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[30.398s][info][gc          ] GC(34) Pause Full (System.gc()) 1291M->1291M(6144M) 423.522ms
[30.823s][info][gc,metaspace] GC(35) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[30.823s][info][gc          ] GC(35) Pause Full (System.gc()) 1291M->1291M(6144M) 424.760ms
[31.269s][info][gc,metaspace] GC(36) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[31.269s][info][gc          ] GC(36) Pause Full (System.gc()) 1291M->1291M(6144M) 445.677ms
[31.710s][info][gc,metaspace] GC(37) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[31.710s][info][gc          ] GC(37) Pause Full (System.gc()) 1291M->1291M(6144M) 440.646ms
[32.182s][info][gc,metaspace] GC(38) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[32.182s][info][gc          ] GC(38) Pause Full (System.gc()) 1291M->1291M(6144M) 472.281ms
[32.595s][info][gc,metaspace] GC(39) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[32.595s][info][gc          ] GC(39) Pause Full (System.gc()) 1291M->1291M(6144M) 412.686ms
[33.044s][info][gc,metaspace] GC(40) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[33.044s][info][gc          ] GC(40) Pause Full (System.gc()) 1291M->1291M(6144M) 449.082ms
[33.502s][info][gc,metaspace] GC(41) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[33.502s][info][gc          ] GC(41) Pause Full (System.gc()) 1291M->1291M(6144M) 453.934ms
[33.955s][info][gc,metaspace] GC(42) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[33.955s][info][gc          ] GC(42) Pause Full (System.gc()) 1291M->1291M(6144M) 452.322ms
[34.380s][info][gc,metaspace] GC(43) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[34.380s][info][gc          ] GC(43) Pause Full (System.gc()) 1291M->1291M(6144M) 425.464ms
[34.806s][info][gc,metaspace] GC(44) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[34.806s][info][gc          ] GC(44) Pause Full (System.gc()) 1291M->1291M(6144M) 425.628ms
[35.268s][info][gc,metaspace] GC(45) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[35.268s][info][gc          ] GC(45) Pause Full (System.gc()) 1291M->1291M(6144M) 462.153ms
[35.663s][info][gc,metaspace] GC(46) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[35.663s][info][gc          ] GC(46) Pause Full (System.gc()) 1291M->1291M(6144M) 394.739ms
[36.180s][info][gc,metaspace] GC(47) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[36.180s][info][gc          ] GC(47) Pause Full (System.gc()) 1291M->1291M(6144M) 516.372ms
[36.588s][info][gc,metaspace] GC(48) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[36.588s][info][gc          ] GC(48) Pause Full (System.gc()) 1291M->1291M(6144M) 408.634ms
[37.043s][info][gc,metaspace] GC(49) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[37.043s][info][gc          ] GC(49) Pause Full (System.gc()) 1291M->1291M(6144M) 454.905ms
[37.470s][info][gc,metaspace] GC(50) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[37.470s][info][gc          ] GC(50) Pause Full (System.gc()) 1291M->1291M(6144M) 426.822ms
[37.930s][info][gc,metaspace] GC(51) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[37.930s][info][gc          ] GC(51) Pause Full (System.gc()) 1291M->1291M(6144M) 459.616ms
[38.356s][info][gc,metaspace] GC(52) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[38.356s][info][gc          ] GC(52) Pause Full (System.gc()) 1291M->1291M(6144M) 425.701ms
[38.775s][info][gc,metaspace] GC(53) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[38.775s][info][gc          ] GC(53) Pause Full (System.gc()) 1291M->1291M(6144M) 418.632ms
[39.226s][info][gc,metaspace] GC(54) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[39.226s][info][gc          ] GC(54) Pause Full (System.gc()) 1291M->1291M(6144M) 451.111ms
[39.656s][info][gc,metaspace] GC(55) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[39.656s][info][gc          ] GC(55) Pause Full (System.gc()) 1291M->1291M(6144M) 429.711ms
[40.138s][info][gc,metaspace] GC(56) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[40.138s][info][gc          ] GC(56) Pause Full (System.gc()) 1291M->1291M(6144M) 482.215ms
[40.544s][info][gc,metaspace] GC(57) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[40.544s][info][gc          ] GC(57) Pause Full (System.gc()) 1291M->1291M(6144M) 405.839ms
[41.002s][info][gc,metaspace] GC(58) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[41.002s][info][gc          ] GC(58) Pause Full (System.gc()) 1291M->1291M(6144M) 458.224ms
[41.435s][info][gc,metaspace] GC(59) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[41.435s][info][gc          ] GC(59) Pause Full (System.gc()) 1291M->1291M(6144M) 432.934ms
[41.855s][info][gc,metaspace] GC(60) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[41.855s][info][gc          ] GC(60) Pause Full (System.gc()) 1291M->1291M(6144M) 419.707ms
[42.318s][info][gc,metaspace] GC(61) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[42.318s][info][gc          ] GC(61) Pause Full (System.gc()) 1291M->1291M(6144M) 462.632ms
[42.728s][info][gc,metaspace] GC(62) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[42.728s][info][gc          ] GC(62) Pause Full (System.gc()) 1291M->1291M(6144M) 409.788ms
[43.174s][info][gc,metaspace] GC(63) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[43.174s][info][gc          ] GC(63) Pause Full (System.gc()) 1291M->1291M(6144M) 445.871ms
[43.576s][info][gc,metaspace] GC(64) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[43.576s][info][gc          ] GC(64) Pause Full (System.gc()) 1291M->1291M(6144M) 402.748ms
[44.049s][info][gc,metaspace] GC(65) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[44.049s][info][gc          ] GC(65) Pause Full (System.gc()) 1291M->1291M(6144M) 468.127ms
[44.471s][info][gc,metaspace] GC(66) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[44.471s][info][gc          ] GC(66) Pause Full (System.gc()) 1291M->1291M(6144M) 421.825ms
[44.926s][info][gc,metaspace] GC(67) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[44.927s][info][gc          ] GC(67) Pause Full (System.gc()) 1291M->1291M(6144M) 455.483ms
[45.347s][info][gc,metaspace] GC(68) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[45.347s][info][gc          ] GC(68) Pause Full (System.gc()) 1291M->1291M(6144M) 420.262ms
[45.758s][info][gc,metaspace] GC(69) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[45.758s][info][gc          ] GC(69) Pause Full (System.gc()) 1291M->1291M(6144M) 411.010ms
[46.208s][info][gc,metaspace] GC(70) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[46.208s][info][gc          ] GC(70) Pause Full (System.gc()) 1291M->1291M(6144M) 450.354ms
[46.622s][info][gc,metaspace] GC(71) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[46.622s][info][gc          ] GC(71) Pause Full (System.gc()) 1291M->1291M(6144M) 413.106ms
[47.059s][info][gc,metaspace] GC(72) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
[47.059s][info][gc          ] GC(72) Pause Full (System.gc()) 1291M->1291M(6144M) 437.343ms
[47.487s][info][gc,metaspace] GC(73) Metaspace: 33404K(35328K)->33404K(35328K) NonClass: 28948K(29824K)->28948K(29824K) Class: 4455K(5504K)->4455K(5504K)
