[0.001s][info][metaspace]  - commit_granule_bytes: 65536.
[0.001s][info][metaspace]  - commit_granule_words: 8192.
[0.001s][info][metaspace]  - virtual_space_node_default_size: 8388608.
[0.001s][info][metaspace]  - enlarge_chunks_in_place: 1.
[0.001s][info][metaspace]  - use_allocation_guard: 0.
[0.003s][info][gc       ] Using G1
[0.436s][info][metaspace] Reserving compressed class space anywhere
[0.436s][info][gc,metaspace] CDS archive(s) not mapped
[0.436s][info][gc,metaspace] Compressed class space mapped at: 0x000000003e000000-0x00000000fe000000, reserved size: 3221225472
[0.436s][info][gc,metaspace] UseCompressedClassPointers 1, UseCompactObjectHeaders 1, UseKlassTable 1, narrow klass pointer bits 22, max shift 10
[0.436s][info][gc,metaspace] Narrow klass base: 0x000000003e000000, Narrow klass shift: 10, Narrow klass range: 0xc0000000
Num Classes: 4096
Num Objects per Class: 16384
Cycles: 100
Class association: random
[43.061s][info][gc          ] GC(27) Pause Full (System.gc()) 782M->782M(6144M) 546.932ms
[43.580s][info][gc,metaspace] GC(28) Metaspace: 40830K(42432K)->40830K(42432K) NonClass: 40830K(42432K)->40830K(42432K) Class: 0K(0K)->0K(0K)
[43.580s][info][gc          ] GC(28) Pause Full (System.gc()) 782M->782M(6144M) 518.473ms
[44.103s][info][gc,metaspace] GC(29) Metaspace: 40830K(42432K)->40830K(42432K) NonClass: 40830K(42432K)->40830K(42432K) Class: 0K(0K)->0K(0K)
[44.104s][info][gc          ] GC(29) Pause Full (System.gc()) 782M->782M(6144M) 523.361ms
[44.628s][info][gc,metaspace] GC(30) Metaspace: 40830K(42432K)->40830K(42432K) NonClass: 40830K(42432K)->40830K(42432K) Class: 0K(0K)->0K(0K)
[44.628s][info][gc          ] GC(30) Pause Full (System.gc()) 782M->782M(6144M) 524.091ms
[45.157s][info][gc,metaspace] GC(31) Metaspace: 40830K(42432K)->40830K(42432K) NonClass: 40830K(42432K)->40830K(42432K) Class: 0K(0K)->0K(0K)
[45.157s][info][gc          ] GC(31) Pause Full (System.gc()) 782M->782M(6144M) 529.101ms
[45.697s][info][gc,metaspace] GC(32) Metaspace: 40830K(42432K)->40830K(42432K) NonClass: 40830K(42432K)->40830K(42432K) Class: 0K(0K)->0K(0K)
[45.697s][info][gc          ] GC(32) Pause Full (System.gc()) 782M->782M(6144M) 540.127ms
[46.220s][info][gc,metaspace] GC(33) Metaspace: 40830K(42432K)->40830K(42432K) NonClass: 40830K(42432K)->40830K(42432K) Class: 0K(0K)->0K(0K)
[46.220s][info][gc          ] GC(33) Pause Full (System.gc()) 782M->782M(6144M) 523.087ms
