Done; will start GCs... 
[490.980s][info][gc,metaspace] GC(93) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[490.980s][info][gc          ] GC(93) Pause Full (System.gc()) 195M->195M(3959M) 5260.831ms
[496.242s][info][gc,metaspace] GC(94) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[496.242s][info][gc          ] GC(94) Pause Full (System.gc()) 195M->195M(3959M) 5261.175ms
[501.505s][info][gc,metaspace] GC(95) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[501.505s][info][gc          ] GC(95) Pause Full (System.gc()) 195M->195M(3959M) 5262.608ms
[506.763s][info][gc,metaspace] GC(96) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[506.763s][info][gc          ] GC(96) Pause Full (System.gc()) 195M->195M(3959M) 5257.151ms
[512.025s][info][gc,metaspace] GC(97) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[512.025s][info][gc          ] GC(97) Pause Full (System.gc()) 195M->195M(3959M) 5261.499ms
[517.288s][info][gc,metaspace] GC(98) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[517.288s][info][gc          ] GC(98) Pause Full (System.gc()) 195M->195M(3959M) 5262.037ms
[522.553s][info][gc,metaspace] GC(99) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[522.553s][info][gc          ] GC(99) Pause Full (System.gc()) 196M->195M(3959M) 5263.867ms
[527.814s][info][gc,metaspace] GC(100) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
[527.814s][info][gc          ] GC(100) Pause Full (System.gc()) 195M->195M(3959M) 5260.248ms
[533.073s][info][gc,metaspace] GC(101) Metaspace: 90694K(106176K)->90694K(106176K) NonClass: 71213K(78784K)->71213K(78784K) Class: 19481K(27392K)->19481K(27392K)
