[0.001s][info][metaspace]  - commit_granule_bytes: 65536.
[0.001s][info][metaspace]  - commit_granule_words: 8192.
[0.001s][info][metaspace]  - virtual_space_node_default_size: 8388608.
[0.001s][info][metaspace]  - enlarge_chunks_in_place: 1.
[0.001s][info][metaspace]  - use_allocation_guard: 0.
[0.005s][info][gc       ] Using G1
[0.432s][info][metaspace] Reserving compressed class space anywhere
[0.432s][info][gc,metaspace] CDS archive(s) not mapped
[0.432s][info][gc,metaspace] Compressed class space mapped at: 0x000000003a000000-0x00000000fa000000, reserved size: 3221225472
[0.432s][info][gc,metaspace] UseCompressedClassPointers 1, UseCompactObjectHeaders 1, UseKlassTable 1, narrow klass pointer bits 22, max shift 10
[0.433s][info][gc,metaspace] Narrow klass base: 0x000000003a000000, Narrow klass shift: 10, Narrow klass range: 0xc0000000
Num Classes: 2048
Num Objects per Class: 32768
Cycles: 100
Class association: random
Generate 2048 classes...[1.454s][info][gc,metaspace] GC(0) Metaspace: 22121K(22272K)->22121K(22272K) NonClass: 22121K(22272K)->22121K(22272K) Class: 0K(0K)->0K(0K)
[39.346s][info][gc          ] GC(53) Pause Full (System.gc()) 778M->778M(6144M) 470.264ms
[39.805s][info][gc,metaspace] GC(54) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[39.805s][info][gc          ] GC(54) Pause Full (System.gc()) 778M->778M(6144M) 459.386ms
[40.280s][info][gc,metaspace] GC(55) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[40.280s][info][gc          ] GC(55) Pause Full (System.gc()) 778M->778M(6144M) 474.354ms
[40.744s][info][gc,metaspace] GC(56) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[40.744s][info][gc          ] GC(56) Pause Full (System.gc()) 778M->778M(6144M) 464.652ms
[41.203s][info][gc,metaspace] GC(57) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[41.203s][info][gc          ] GC(57) Pause Full (System.gc()) 778M->778M(6144M) 458.712ms
[41.640s][info][gc,metaspace] GC(58) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[41.640s][info][gc          ] GC(58) Pause Full (System.gc()) 778M->778M(6144M) 436.422ms
[42.097s][info][gc,metaspace] GC(59) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[42.097s][info][gc          ] GC(59) Pause Full (System.gc()) 778M->778M(6144M) 457.388ms
[42.543s][info][gc,metaspace] GC(60) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[42.543s][info][gc          ] GC(60) Pause Full (System.gc()) 778M->778M(6144M) 446.076ms
[43.044s][info][gc,metaspace] GC(61) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[43.044s][info][gc          ] GC(61) Pause Full (System.gc()) 778M->778M(6144M) 496.157ms
[43.511s][info][gc,metaspace] GC(62) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[43.511s][info][gc          ] GC(62) Pause Full (System.gc()) 778M->778M(6144M) 467.305ms
[43.972s][info][gc,metaspace] GC(63) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[43.973s][info][gc          ] GC(63) Pause Full (System.gc()) 778M->778M(6144M) 461.105ms
[44.427s][info][gc,metaspace] GC(64) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[44.427s][info][gc          ] GC(64) Pause Full (System.gc()) 778M->778M(6144M) 454.078ms
[44.867s][info][gc,metaspace] GC(65) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[44.867s][info][gc          ] GC(65) Pause Full (System.gc()) 778M->778M(6144M) 440.490ms
[45.311s][info][gc,metaspace] GC(66) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[45.311s][info][gc          ] GC(66) Pause Full (System.gc()) 778M->778M(6144M) 443.513ms
[45.755s][info][gc,metaspace] GC(67) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[45.755s][info][gc          ] GC(67) Pause Full (System.gc()) 778M->778M(6144M) 444.359ms
[46.214s][info][gc,metaspace] GC(68) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[46.214s][info][gc          ] GC(68) Pause Full (System.gc()) 778M->778M(6144M) 458.706ms
[46.678s][info][gc,metaspace] GC(69) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[46.679s][info][gc          ] GC(69) Pause Full (System.gc()) 778M->778M(6144M) 464.273ms
[47.153s][info][gc,metaspace] GC(70) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[47.153s][info][gc          ] GC(70) Pause Full (System.gc()) 778M->778M(6144M) 474.747ms
[47.617s][info][gc,metaspace] GC(71) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[47.618s][info][gc          ] GC(71) Pause Full (System.gc()) 778M->778M(6144M) 464.087ms
[48.103s][info][gc,metaspace] GC(72) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[48.103s][info][gc          ] GC(72) Pause Full (System.gc()) 778M->778M(6144M) 481.354ms
[48.550s][info][gc,metaspace] GC(73) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[48.550s][info][gc          ] GC(73) Pause Full (System.gc()) 778M->778M(6144M) 446.758ms
[49.000s][info][gc,metaspace] GC(74) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[49.000s][info][gc          ] GC(74) Pause Full (System.gc()) 778M->778M(6144M) 450.295ms
[49.456s][info][gc,metaspace] GC(75) Metaspace: 32385K(33216K)->32385K(33216K) NonClass: 32385K(33216K)->32385K(33216K) Class: 0K(0K)->0K(0K)
[49.456s][info][gc          ] GC(75) Pause Full (System.gc()) 778M->778M(6144M) 455.443ms
